,food,amount,cals,protein,carbs,fat
434,pizza roquefort cebolla,0.0,2.14,0.0665,0.352,0.0496
435,plan flauta,0.0,3.92,0.1,0.86,0.0
436,gramajo,0.0,1.44,0.1008,0.059,0.0869
437,mila cheddar,0.0,2.24,0.2113,0.1215,0.095
438,mila de casa,0.0,2.24,0.2113,0.1215,0.095
439,mila cuatro quesos,0.0,2.24,0.2113,0.1215,0.095
440,pan campo,0.0,2.54,0.088,0.5,0.024
441,salsa tomate cebolla,0.0,0.4398493,0.0114,0.079,0.0004
442,soufle zanahoria,0.0,1.0718982,0.051773332,0.068,0.068
443,poroto,0.0,0.95384616,0.055384614,0.16923077,0.006153846
444,arveja,0.0,0.81,0.0542,0.1446,0.004
445,pollo poroto cebolla,0.0,1.2068717,0.1781706,0.08100537,0.019817282
446,mezcla chocotorta,0.0,2.9807014,0.06637168,0.34144247,0.11959911
447,mermelada durazno light,0.0,1.3,0.0,0.32,0.0
448,SPACE,0.0,1.0,1.0,1.0,1.0
449,coniac cafe,0.0,2.31,0.0,0.0,0.0
450,tapa empanada,0.0,3.1851852,0.06666667,0.4814815,0.11111111
451,leche almendra light,0.0,0.13,0.006,0.0,0.011
452,leche almendra,0.0,0.245,0.0055,0.032,0.0105
453,leche arroz,0.0,0.29,0.0,0.041,0.014
454,licuado almendra light banana azucar,0.0,0.8018357,0.008692412,0.18298103,0.0024186992
455,papa sonrisa cheddar bacon cebolla miel,0.0,2.7147486,0.10501,0.148,0.17342
456,maicena,0.0,3.81,0.0026,0.9127,0.0005
